management , cdc , 53.910069278 , 61
weddings , designing , 46.169890596 , 167
management , weddings , 42.4076604115 , 37
weddings , fontshop , 41.9365412014 , 269
luge , designing , 39.9316839879 , 166
drobo , weddings , 39.775784964 , 131
autodesk , weddings , 38.1168848208 , 75
innovation , weddings , 37.2520968797 , 104
drupal , weddings , 36.9743855922 , 210
copywriting , weddings , 36.490457004 , 59
luge , fontshop , 36.2703200978 , 53
rennes , designing , 36.1062762933 , 54
photojournalism , weddings , 35.2640859651 , 51
thrillers , perth , 35.178997409 , 49
perth , mysql , 34.803491455 , 65
smithsonian , cdc , 34.7798791282 , 73
unix , designing , 34.7761334438 , 278
weddings , perth , 34.7295290356 , 137
thrillers , mysql , 34.6575360875 , 137
thrillers , weddings , 34.5838838442 , 328
designing , belgium , 34.3771829892 , 723
weddings , mysql , 34.2147302227 , 734
weddings , finance , 34.0750677098 , 42
expressionengine , weddings , 33.7864090417 , 45
designing , consulting , 33.7054948533 , 760
legalzoom , cdc , 33.128369131 , 60
hadoop , weddings , 32.9904194194 , 131
grindcore , weddings , 32.9765458426 , 129
hubspot , weddings , 32.9349719158 , 151
saas , weddings , 32.8185396721 , 72
unix , cdc , 32.6916788839 , 168
vmware , weddings , 32.5380119024 , 104
vancouver , innovation , 32.3756804401 , 63
agronomy , weddings , 32.3460480616 , 43
crosswords , designing , 32.3345127526 , 377
belgium , cdc , 32.3166412112 , 55
luge , innovation , 32.2188105989 , 47
wine , weddings , 32.1559638859 , 40
weddings , serani , 32.1539075477 , 405
scala , weddings , 32.1074521342 , 478
d90 , weddings , 31.951155809 , 37
management , unix , 31.9423424762 , 106
weddings , journalism , 31.7886359392 , 239
consulting , cdc , 31.685213543 , 97
unix , fontshop , 31.5874855704 , 453
management , belgium , 31.5759011617 , 73
fontshop , belgium , 31.2251151606 , 202
crowdsourcing , weddings , 31.1562411897 , 48
blogging , cdc , 31.1178728634 , 129
management , consulting , 30.9589466487 , 95
napa , weddings , 30.9369926538 , 157
christchurch , mysql , 30.6708341215 , 37
fontshop , consulting , 30.6150145772 , 299
christchurch , weddings , 30.6056541927 , 467
karlsruhe , weddings , 30.5519125313 , 122
management , blogging , 30.4046101659 , 90
philanthropy , weddings , 30.4004366222 , 39
drobo , unix , 29.9599584898 , 168
