shooting , camel , 41.4543508169 , 76
baseball , burlington , 41.378159474 , 311
shooting , sharks , 39.7143706317 , 68
superstitions , burlington , 39.4927066659 , 168
dads , burlington , 39.3040553864 , 67
superstitions , guelph , 38.9979130294 , 63
camel , guelph , 38.6570816488 , 172
moncton , camel , 38.5438955029 , 63
shooting , gatineau , 37.5359355219 , 120
burlington , sharks , 37.5043949778 , 192
dads , waterloo , 37.0821262221 , 553
sharks , guelph , 37.0345123705 , 344
gatineau , canada , 36.5516132249 , 66
baseball , maine , 36.4830120787 , 263
shooting , burlington , 36.3886700529 , 356
gatineau , sweden , 36.3573450904 , 175
animals , baseball , 36.0503850878 , 71
shooting , guelph , 35.9327660669 , 447
lethbridge , camel , 35.7332833587 , 208
gatineau , burlington , 35.447182702 , 1125
canada , burlington , 35.4344330319 , 313
waterloo , sharks , 35.3842038634 , 90
sweden , burlington , 35.2461025974 , 786
gatineau , guelph , 35.0030743611 , 548
sweden , guelph , 34.8045135357 , 393
camel , maine , 34.516290508 , 78
animals , camel , 34.1069855178 , 76
burlington , guelph , 33.9332244168 , 1218
gatineau , quebec , 33.9237672417 , 87
moncton , burlington , 33.8338695063 , 80
sweden , quebec , 33.7313289674 , 149
duluth , sharks , 33.5110517276 , 109
waterloo , gatineau , 33.4432895092 , 178
moncton , guelph , 33.4099739381 , 106
waterloo , sweden , 33.2535768257 , 220
shooting , lethbridge , 33.2150192661 , 72
sharks , maine , 33.0675243262 , 103
weather , baseball , 32.9134919682 , 90
quebec , burlington , 32.886905733 , 91
oakville , maine , 32.5698531471 , 81
quebec , guelph , 32.4748744225 , 173
waterloo , burlington , 32.4211135413 , 321
vitamins , burlington , 32.0771457444 , 197
waterloo , guelph , 32.0149180175 , 141
shooting , animals , 31.7033329881 , 1396
detroit , guelph , 31.4258470629 , 81
surfing , shooting , 31.400160659 , 207
lethbridge , burlington , 31.3667113927 , 78
dads , weather , 31.263684217 , 406
gatineau , maine , 31.2536857877 , 274
sweden , maine , 31.0763939995 , 130
waterloo , quebec , 31.0277496166 , 212
lethbridge , guelph , 30.9737261935 , 113
animals , gatineau , 30.8830697867 , 142
toronto , guelph , 30.829065198 , 80
duluth , burlington , 30.7048200701 , 77
truck , edmonton , 30.6915135371 , 121
vancouver , edmonton , 30.5407407562 , 73
duluth , guelph , 30.3201275315 , 70
burlington , maine , 30.2984338675 , 2751
philadelphia , baseball , 30.2697759244 , 75
shooting , hawks , 30.2470956939 , 133
baseball , edmonton , 30.0938970995 , 422
animals , burlington , 29.9391455431 , 439
maine , guelph , 29.9188328337 , 632
weather , sharks , 29.8321776165 , 105
gatineau , fitness , 29.7889374283 , 137
sweden , fitness , 29.6199546715 , 111
zoolander , burlington , 29.6185718727 , 101
animals , guelph , 29.5640459374 , 482
hawks , sweden , 29.2973674649 , 79
surfing , guelph , 29.2813311621 , 180
dads , bergen , 29.2741044839 , 201
bmw , sharks , 29.2012957278 , 91
shooting , weather , 28.9446948521 , 63
fitness , burlington , 28.8784547457 , 344
dodge , guelph , 28.8317094593 , 232
theatre , burlington , 28.8282208665 , 91
finland , gatineau , 28.8098957618 , 82
gatineau , ssl , 28.7425115462 , 85
superstitions , edmonton , 28.7226272433 , 205
finland , sweden , 28.6464667835 , 106
dads , edmonton , 28.5854231659 , 488
sweden , ssl , 28.5794648162 , 138
hawks , burlington , 28.5639431216 , 255
fitness , guelph , 28.5166442533 , 124
camel , edmonton , 28.4715991257 , 198
motown , burlington , 28.3503298694 , 74
hawks , guelph , 28.2060730619 , 190
weather , gatineau , 28.1958061447 , 675
weather , canada , 28.1856646554 , 103
gatineau , centurylink , 28.1735005076 , 91
weather , sweden , 28.035860693 , 410
finland , burlington , 27.9293369556 , 509
ssl , burlington , 27.8640123019 , 153
