mississauga , lobbying , 44.6866559012 , 220
college , sharks , 43.5623335372 , 185
lobbying , guelph , 43.0972744937 , 147
podcasts , sharks , 42.2328195987 , 289
lobbying , waterloo , 41.3038296802 , 186
college , guelph , 41.0943959376 , 117
lobbying , fishing , 41.0326490584 , 147
mississauga , sharks , 40.4433127753 , 696
college , fishing , 39.1257207464 , 332
sharks , guelph , 39.0048554084 , 1117
moncton , sharks , 38.4779977676 , 117
mississauga , guelph , 38.1520771103 , 1166
podcasts , fishing , 37.9316113665 , 125
mississauga , moncton , 37.6367383626 , 170
waterloo , sharks , 37.381712032 , 388
sharks , fishing , 37.1362821048 , 3727
mississauga , waterloo , 36.5644211477 , 788
mississauga , fishing , 36.3243571503 , 2282
moncton , guelph , 36.2981031261 , 277
fitbit , lobbying , 35.6983673501 , 125
quebec , fishing , 35.6384060887 , 126
college , kvass , 35.5889371396 , 202
wisconsin , sharks , 35.462433094 , 287
waterloo , guelph , 35.2639252843 , 444
ontario , sharks , 35.22731466 , 624
superstitions , halifax , 35.1326944663 , 498
fishing , guelph , 35.0323997029 , 2158
sharks , maine , 34.9873351715 , 313
moncton , fishing , 34.5591999623 , 333
mississauga , maine , 34.2223934782 , 146
fitbit , college , 34.0393414536 , 234
lobbying , guns , 34.019230808 , 155
bmw , college , 33.7975966156 , 172
sharks , kvass , 33.7793345199 , 2515
dodge , sharks , 33.6146350666 , 180
waterloo , fishing , 33.5745656219 , 599
hockey , guelph , 33.5730505936 , 150
ssl , sharks , 33.4828441075 , 163
ontario , guelph , 33.2315810221 , 312
washington , sharks , 33.2299501216 , 207
mississauga , centurylink , 33.1859816838 , 117
fitness , sharks , 33.0803201455 , 179
mississauga , kvass , 33.0408038138 , 150
maine , guelph , 33.0051970955 , 385
mississauga , dodge , 32.8797052487 , 197
mississauga , ssl , 32.7507956865 , 134
mississauga , washington , 32.50343082 , 349
mississauga , fitness , 32.3570722622 , 105
fitbit , sharks , 32.3085316453 , 2626
hockey , fishing , 31.9646942646 , 157
kvass , guelph , 31.8656333248 , 573
wisconsin , fishing , 31.8507559527 , 367
hatebreed , maine , 31.7746017129 , 150
dodge , guelph , 31.7102645923 , 148
ontario , fishing , 31.639583193 , 734
mississauga , fitbit , 31.6021576736 , 1111
ssl , guelph , 31.5859399886 , 197
maine , fishing , 31.4240444537 , 327
mississauga , bmw , 31.3777215311 , 108
washington , guelph , 31.3473732099 , 171
fitness , guelph , 31.2062202233 , 171
diving , guelph , 31.1889471928 , 171
motown , fishing , 30.8038629374 , 119
guns , sharks , 30.7888420871 , 436
bergen , sharks , 30.5782881968 , 215
